Spørsmål,Svar
"Hva er sammenhengen mellom symbolrate, båndbredde og spektral effektivitet i et kommunikasjonsystem?","Spektral effektivitet = (bitrate / båndbredde). Økt symbolrate øker bitrate, men krever bredere bånd, spesielt ved lav rolloff."
Hvordan påvirker rolloff-faktor i et RRC-filter både ISI og spektral utstråling?,Lav rolloff gir mindre spektral utstråling men lengre impulssvar og mer sensitivitet for timingfeil.
Forklar hvorfor matched filtering er optimal i AWGN-kanaler men ikke nødvendigvis i fadingkanaler.,"I AWGN maksimerer matched filtering SNR. I fading kan kanalresponsen forvrenge impulssvar, og matched filter må tilpasses kanalestimat."
"Hva er funksjonen til et preamble i trådløse systemer, og hvilke egenskaper bør det ha?",Preambler brukes til synkronisering og kanalestimering. Bør ha lav krysskorrelasjon og høy autokorrelasjon.
Hva menes med koherenstid og hvordan bestemmer den systemdesign i mobile systemer?,Koherenstid er tiden kanalresponsen er stabil. Symboltid må være kortere for å unngå fading innen et symbol.
"Hvordan brukes en Costas-loop for carriersynkronisering, og hva skjer hvis loop bandwidth er feil justert?",Costas-loop låser på fase. For lav bandwidth gir treg respons; for høy gir ustabilitet og støyfølsomhet.
Hva er sammenhengen mellom koherensbåndbredde og delay spread i en kanal?,Koherensbåndbredde ≈ 1/(2π * RMS delay spread). Lang delay spread gir smalere båndbredde før fading blir frekvensselektiv.
"Forklar hvorfor QPSK er mer spektralt effektivt enn BPSK, men har samme BER i AWGN.",QPSK sender 2 bps ved samme symbolrate. BER er lik fordi avstanden mellom symboler i konstellasjonen er samme som BPSK.
Hva er forskjellen på additive hvit Gaussisk støy (AWGN) og Rayleigh fading?,"AWGN er konstant, uavhengig støy. Rayleigh fading gir stokastisk variasjon i amplitude pga. multibane-interferens."
"Hvordan fungerer interpolasjon i symbolsynkronisering, og hvorfor er det nødvendig?",Interpolasjon skaper samples mellom eksisterende punkter for å hente ut verdier ved optimal samplingstid.
Hva er hovedprinsippet bak Frame Synchronization via korrelasjon?,Mottakeren korrelerer signalet med en kjent sekvens og søker etter peak som indikerer starten av rammen.
"Hva er en ‘eye diagram’, og hva kan det avsløre om et digitalt signal?",Et eye diagram viser overlagrede symbolsperioder. Smalt 'øyne' indikerer ISI og dårlig timingmargin.
Forklar hvordan symbol timing jitter kan føre til feil selv med matched filtering.,"Jitter gir sampling utenfor optimal punkt – selv om filteret er ideelt, samles ikke signalenergien optimalt."
Hvordan påvirker kanalens impulsrespons valget av equalizer?,Lang og frekvensselektiv kanalrespons krever DFE eller MLSE. Flat kanal kan håndteres uten eller med lineær EQ.
Hva er det fysikalske grunnlaget for frekvensselektiv fading?,Ulike refleksjoner har ulike lengder → interferens konstruktiv/destruktiv over frekvensbånd → varierende gain.
Hva er Doppler-spredning og hvordan påvirker det carrier-synkronisering?,Doppler gir spektral utvidelse som påvirker faselås. Høy doppler gjør carrier-sløyfer ustabile.
"Hva skiller GMSK fra FSK i praksis, spesielt i forhold til spektral bruk?","GMSK er kontinuerlig fase-FSK med Gaussisk filter, som gir smalere spektrum og lavere sidelobes."
