Spectrum 1,04/18/2025 18:32:13
[Global Parameters]
Frequency,2425000000,Hz
Reference Level,-100,dBW
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,1750000,SamplesPerSecond
Acquisition Span,1250000,Hz
Internal Preamp,false,
Actual RF Attenuation,0,dB
Control Spectrum settings,true,
Selected RF Channel,RF,
Selected I Channel,,
Selected Q Channel,,
Selected I Plus Channel,,
Selected I Minus Channel,,
Selected Q Plus Channel,,
Selected Q Minus Channel,,
Active Configuration,RF,
Termination,FiftyOhms,
Center Frequency,2425000000,
Reference Level,-70,dBm
Frequency,0,Hz
Down Converter Enabled,false,
Min RF Chan Freq,9000,Hz
Spectrum Inverted,false,
Injection Side,Low,
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Magnetic Declination,0,deg
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,false
Enabled,false
Frequency,2.424968667,,GHz
Trace 1,-127.70,,dBW
[Marker M1]
Active,false
Enabled,false
Frequency,2.4254,,GHz
Trace 1,-158.47,,dBW
[Marker M2]
Active,false
Enabled,false
Frequency,2.4152725,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,

[Parameters]
Span,800000,Hz
Resolution Bandwidth,100,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,

Video Bandwidth Enable,true,
Video Bandwidth,100,Hz
Video Bandwidth,1000,Hz
VBW AnalysisLength Option,SpectrumLength,

[Trace Parameters]
Trace 1
Selected,true,
,false,
Trace Description,Trace 1,
,false,
Function,Average,
Detection,Average,


[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,


[Results]
Marker Power ENBW,105.49698059079293,Hz,-0.011744571428571429,0.023489142857142858
Noise Marker Offset,-20.232400299510338,dB,-0.011744571428571429,0.023489142857142858
Actual RBW,99.999994900503381,Hz,-0.011744571428571429,0.023489142857142858
Spectrum Segments,2,,-0.011744571428571429,0.023489142857142858

[Traces]
[Trace]
Trace 1,,dBW,-0.011744571428571429,0.023489142857142858
NumberPoints,2401
XStart,2424600000,Hz
XStop,2425400000,Hz
-168.04600524902344,2424600000
-167.91020202636719,2424600333.3333333333333333333
-167.28140258789063,2424600666.6666666666666666667
-166.65640258789063,2424601000.0000000000000000000
-167.66090393066406,2424601333.3333333333333333333
-167.17289733886719,2424601666.6666666666666666667
-169.31440734863281,2424602000.0000000000000000000
-167.722900390625,2424602333.3333333333333333333
-168.03779602050781,2424602666.6666666666666666667
-167.30099487304688,2424603000.0000000000000000000
-168.12510681152344,2424603333.3333333333333333333
-168.56629943847656,2424603666.6666666666666666667
-166.37399291992188,2424604000.0000000000000000000
-167.14250183105469,2424604333.3333333333333333333
-167.35670471191406,2424604666.6666666666666666667
-167.61799621582031,2424605000.0000000000000000000
-168.08030700683594,2424605333.3333333333333333333
-167.53810119628906,2424605666.6666666666666666667
-168.19189453125,2424606000.0000000000000000000
-167.59060668945313,2424606333.3333333333333333333
-166.81480407714844,2424606666.6666666666666666667
-166.48049926757813,2424607000.0000000000000000000
-168.08259582519531,2424607333.3333333333333333333
-167.65420532226563,2424607666.6666666666666666667
-168.13479614257813,2424608000.0000000000000000000
-167.02029418945313,2424608333.3333333333333333333
-167.66459655761719,2424608666.6666666666666666667
-167.73139953613281,2424609000.0000000000000000000
-167.55380249023438,2424609333.3333333333333333333
-167.23809814453125,2424609666.6666666666666666667
-167.03889465332031,2424610000.0000000000000000000
-166.55380249023438,2424610333.3333333333333333333
-167.00309753417969,2424610666.6666666666666666667
-167.36740112304688,2424611000.0000000000000000000
-167.5386962890625,2424611333.3333333333333333333
-166.54400634765625,2424611666.6666666666666666667
-166.443603515625,2424612000.0000000000000000000
-167.77459716796875,2424612333.3333333333333333333
-165.87409973144531,2424612666.6666666666666666667
-167.51679992675781,2424613000.0000000000000000000
-167.414794921875,2424613333.3333333333333333333
-166.97019958496094,2424613666.6666666666666666667
-167.20050048828125,2424614000.0000000000000000000
-166.87190246582031,2424614333.3333333333333333333
-167.23860168457031,2424614666.6666666666666666667
-168.24020385742188,2424615000.0000000000000000000
-167.97889709472656,2424615333.3333333333333333333
-167.33760070800781,2424615666.6666666666666666667
-167.14079284667969,2424616000.0000000000000000000
-167.57200622558594,2424616333.3333333333333333333
-166.51629638671875,2424616666.6666666666666666667
-167.96290588378906,2424617000.0000000000000000000
-168.67280578613281,2424617333.3333333333333333333
-168.30720520019531,2424617666.6666666666666666667
-168.30819702148438,2424618000.0000000000000000000
-168.28909301757813,2424618333.3333333333333333333
-168.66920471191406,2424618666.6666666666666666667
-167.32479858398438,2424619000.0000000000000000000
-167.69169616699219,2424619333.3333333333333333333
-165.77940368652344,2424619666.6666666666666666667
-167.09379577636719,2424620000.0000000000000000000
-167.97720336914063,2424620333.3333333333333333333
-167.6614990234375,2424620666.6666666666666666667
-168.01519775390625,2424621000.0000000000000000000
-167.76029968261719,2424621333.3333333333333333333
-167.97869873046875,2424621666.6666666666666666667
-167.85319519042969,2424622000.0000000000000000000
-167.19670104980469,2424622333.3333333333333333333
-167.57240295410156,2424622666.6666666666666666667
-167.75750732421875,2424623000.0000000000000000000
-167.95689392089844,2424623333.3333333333333333333
-167.85420227050781,2424623666.6666666666666666667
-166.88479614257813,2424624000.0000000000000000000
-166.89460754394531,2424624333.3333333333333333333
-167.41799926757813,2424624666.6666666666666666667
-168.17999267578125,2424625000.0000000000000000000
-167.585693359375,2424625333.3333333333333333333
-168.26579284667969,2424625666.6666666666666666667
-168.63059997558594,2424626000.0000000000000000000
-167.26780700683594,2424626333.3333333333333333333
-167.66569519042969,2424626666.6666666666666666667
-165.80479431152344,2424627000.0000000000000000000
-167.84770202636719,2424627333.3333333333333333333
-166.78630065917969,2424627666.6666666666666666667
-168.489501953125,2424628000.0000000000000000000
-167.27749633789063,2424628333.3333333333333333333
-166.8905029296875,2424628666.6666666666666666667
-166.94349670410156,2424629000.0000000000000000000
-166.34120178222656,2424629333.3333333333333333333
-165.47869873046875,2424629666.6666666666666666667
-166.97369384765625,2424630000.0000000000000000000
-166.88310241699219,2424630333.3333333333333333333
-168.39790344238281,2424630666.6666666666666666667
-166.68989562988281,2424631000.0000000000000000000
-167.36500549316406,2424631333.3333333333333333333
-168.70899963378906,2424631666.6666666666666666667
-167.79550170898438,2424632000.0000000000000000000
-166.65589904785156,2424632333.3333333333333333333
-167.272705078125,2424632666.6666666666666666667
-167.47219848632813,2424633000.0000000000000000000
-166.9779052734375,2424633333.3333333333333333333
-167.58790588378906,2424633666.6666666666666666667
-167.36019897460938,2424634000.0000000000000000000
-167.76930236816406,2424634333.3333333333333333333
-167.29939270019531,2424634666.6666666666666666667
-167.22250366210938,2424635000.0000000000000000000
-166.58259582519531,2424635333.3333333333333333333
-168.78379821777344,2424635666.6666666666666666667
-168.37359619140625,2424636000.0000000000000000000
-166.92680358886719,2424636333.3333333333333333333
-166.07679748535156,2424636666.6666666666666666667
-167.91769409179688,2424637000.0000000000000000000
-167.33760070800781,2424637333.3333333333333333333
-166.87030029296875,2424637666.6666666666666666667
-167.42349243164063,2424638000.0000000000000000000
-166.74119567871094,2424638333.3333333333333333333
-168.14079284667969,2424638666.6666666666666666667
-167.81390380859375,2424639000.0000000000000000000
-166.91409301757813,2424639333.3333333333333333333
-168.40049743652344,2424639666.6666666666666666667
-166.27630615234375,2424640000.0000000000000000000
-166.77949523925781,2424640333.3333333333333333333
-166.62699890136719,2424640666.6666666666666666667
-167.472900390625,2424641000.0000000000000000000
-166.63389587402344,2424641333.3333333333333333333
-168.52560424804688,2424641666.6666666666666666667
-166.91059875488281,2424642000.0000000000000000000
-167.14810180664063,2424642333.3333333333333333333
-167.6846923828125,2424642666.6666666666666666667
-167.83039855957031,2424643000.0000000000000000000
-168.01249694824219,2424643333.3333333333333333333
-166.41619873046875,2424643666.6666666666666666667
-167.2344970703125,2424644000.0000000000000000000
-167.202392578125,2424644333.3333333333333333333
-166.85029602050781,2424644666.6666666666666666667
-166.45140075683594,2424645000.0000000000000000000
-167.61520385742188,2424645333.3333333333333333333
-167.06390380859375,2424645666.6666666666666666667
-167.96389770507813,2424646000.0000000000000000000
-167.25819396972656,2424646333.3333333333333333333
-167.893798828125,2424646666.6666666666666666667
-165.89019775390625,2424647000.0000000000000000000
-167.38240051269531,2424647333.3333333333333333333
-167.72819519042969,2424647666.6666666666666666667
-167.37959289550781,2424648000.0000000000000000000
-167.16340637207031,2424648333.3333333333333333333
-166.77650451660156,2424648666.6666666666666666667
-167.36810302734375,2424649000.0000000000000000000
-168.00050354003906,2424649333.3333333333333333333
-166.27870178222656,2424649666.6666666666666666667
-166.60670471191406,2424650000.0000000000000000000
-167.52699279785156,2424650333.3333333333333333333
-168.38029479980469,2424650666.6666666666666666667
