Spectrum 1,04/19/2025 16:34:47
[Global Parameters]
Frequency,2425000000,Hz
Reference Level,-40,dBW
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,875000,SamplesPerSecond
Acquisition Span,625000,Hz
Internal Preamp,false,
Actual RF Attenuation,0,dB
Control Spectrum settings,true,
Selected RF Channel,RF,
Selected I Channel,,
Selected Q Channel,,
Selected I Plus Channel,,
Selected I Minus Channel,,
Selected Q Plus Channel,,
Selected Q Minus Channel,,
Active Configuration,RF,
Termination,FiftyOhms,
Center Frequency,2425000000,
Reference Level,-10,dBm
Frequency,0,Hz
Down Converter Enabled,false,
Min RF Chan Freq,9000,Hz
Spectrum Inverted,false,
Injection Side,Low,
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Magnetic Declination,0,deg
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,true
Enabled,true
Frequency,2.4249845,,GHz
Trace 1,-65.63,,dBW
[Marker M1]
Active,false
Enabled,false
Frequency,2.425943375,,GHz
Trace 1,---,,
[Marker M2]
Active,false
Enabled,false
Frequency,2.4152725,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,

[Parameters]
Span,400000,Hz
Resolution Bandwidth,100,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,

