Spectrum 1,04/08/2025 15:14:24
[Global Parameters]
Frequency,2425000000,Hz
Reference Level,0,dBm
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,7000000,SamplesPerSecond
Acquisition Span,5000000,Hz
Internal Preamp,false,
Actual RF Attenuation,0,dB
Control Spectrum settings,true,
Selected RF Channel,RF,
Selected I Channel,,
Selected Q Channel,,
Selected I Plus Channel,,
Selected I Minus Channel,,
Selected Q Plus Channel,,
Selected Q Minus Channel,,
Active Configuration,RF,
Termination,FiftyOhms,
Center Frequency,2425000000,
Reference Level,0,dBm
Frequency,0,Hz
Down Converter Enabled,false,
Min RF Chan Freq,9000,Hz
Spectrum Inverted,false,
Injection Side,Low,
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Magnetic Declination,0,deg
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,true
Enabled,true
Frequency,2.42496875,,GHz
Trace 1,-40.94,,dBm
[Marker M1]
Active,false
Enabled,false
Frequency,2.399849143,,GHz
Trace 1,---,,
[Marker M2]
Active,false
Enabled,false
Frequency,2.4152725,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,

[Parameters]
Span,5000000,Hz
Resolution Bandwidth,100000,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,

Video Bandwidth Enable,true,
Video Bandwidth,1000,Hz
Video Bandwidth,1000,Hz
VBW AnalysisLength Option,SpectrumLength,

[Trace Parameters]
Trace 1
Selected,true,
,false,
Trace Description,Trace 1,
,false,
Function,Average,
Detection,Average,


[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,


[Results]
Marker Power ENBW,106204.82456989778,Hz,-0.00055728571428571437,0.0011142857142857144
Noise Marker Offset,-50.26144245902627,dB,-0.00055728571428571437,0.0011142857142857144
Actual RBW,100028.2000272702,Hz,-0.00055728571428571437,0.0011142857142857144
Spectrum Segments,50,,-0.00055728571428571437,0.0011142857142857144

[Traces]
[Trace]
Trace 1,,dBm,-0.00055728571428571437,0.0011142857142857144
NumberPoints,2401
XStart,2422500000,Hz
XStop,2427500000,Hz
-76.312454223632813,2422500000
-76.311279296875,2422502083.3333333333333333333
-76.309455871582031,2422504166.6666666666666666667
-76.306991577148438,2422506250.0000000000000000000
-76.3038101196289,2422508333.3333333333333333333
-76.299911499023438,2422510416.6666666666666666667
-76.295272827148438,2422512500.0000000000000000000
-76.289886474609375,2422514583.3333333333333333333
-76.2837142944336,2422516666.6666666666666666667
-76.276763916015625,2422518750.0000000000000000000
-76.269035339355469,2422520833.3333333333333333333
-76.260543823242188,2422522916.6666666666666666667
-76.251266479492188,2422525000.0000000000000000000
-76.241256713867188,2422527083.3333333333333333333
-76.2304916381836,2422529166.6666666666666666667
-76.219032287597656,2422531250.0000000000000000000
-76.206901550292969,2422533333.3333333333333333333
-76.1941146850586,2422535416.6666666666666666667
-76.180717468261719,2422537500.0000000000000000000
-76.166763305664063,2422539583.3333333333333333333
-76.152290344238281,2422541666.6666666666666666667
-76.137374877929688,2422543750.0000000000000000000
-76.122024536132813,2422545833.3333333333333333333
-76.1063003540039,2422547916.6666666666666666667
-76.090293884277344,2422550000.0000000000000000000
-76.074081420898438,2422552083.3333333333333333333
-76.057670593261719,2422554166.6666666666666666667
-76.0411376953125,2422556250.0000000000000000000
-76.024581909179688,2422558333.3333333333333333333
-76.0080337524414,2422560416.6666666666666666667
-75.991569519042969,2422562500.0000000000000000000
-75.975265502929688,2422564583.3333333333333333333
-75.959144592285156,2422566666.6666666666666666667
-75.943321228027344,2422568750.0000000000000000000
-75.927810668945313,2422570833.3333333333333333333
-75.912666320800781,2422572916.6666666666666666667
-75.8979721069336,2422575000.0000000000000000000
-75.883743286132813,2422577083.3333333333333333333
-75.87005615234375,2422579166.6666666666666666667
-75.85693359375,2422581250.0000000000000000000
-75.844429016113281,2422583333.3333333333333333333
-75.832572937011719,2422585416.6666666666666666667
-75.821418762207031,2422587500.0000000000000000000
-75.810928344726563,2422589583.3333333333333333333
-75.8011703491211,2422591666.6666666666666666667
-75.792152404785156,2422593750.0000000000000000000
-75.783897399902344,2422595833.3333333333333333333
-75.776420593261719,2422597916.6666666666666666667
-75.769706726074219,2422600000.0000000000000000000
-75.763763427734375,2422602083.3333333333333333333
-75.758598327636719,2422604166.6666666666666666667
-75.754158020019531,2422606250.0000000000000000000
-75.7505111694336,2422608333.3333333333333333333
-75.747589111328125,2422610416.6666666666666666667
-75.7453842163086,2422612500.0000000000000000000
-75.743904113769531,2422614583.3333333333333333333
-75.743087768554688,2422616666.6666666666666666667
-75.742958068847656,2422618750.0000000000000000000
-75.743461608886719,2422620833.3333333333333333333
-75.744575500488281,2422622916.6666666666666666667
-75.7463150024414,2422625000.0000000000000000000
-75.748603820800781,2422627083.3333333333333333333
-75.751434326171875,2422629166.6666666666666666667
-75.754814147949219,2422631250.0000000000000000000
-75.758682250976563,2422633333.3333333333333333333
-75.76300048828125,2422635416.6666666666666666667
-75.7677993774414,2422637500.0000000000000000000
-75.773025512695313,2422639583.3333333333333333333
-75.778678894042969,2422641666.6666666666666666667
-75.784736633300781,2422643750.0000000000000000000
-75.791191101074219,2422645833.3333333333333333333
-75.79803466796875,2422647916.6666666666666666667
-75.805229187011719,2422650000.0000000000000000000
-75.812782287597656,2422652083.3333333333333333333
-75.820686340332031,2422654166.6666666666666666667
-75.828964233398438,2422656250.0000000000000000000
-75.83758544921875,2422658333.3333333333333333333
-75.846519470214844,2422660416.6666666666666666667
-75.855819702148438,2422662500.0000000000000000000
-75.8654556274414,2422664583.3333333333333333333
-75.875411987304688,2422666666.6666666666666666667
-75.8857192993164,2422668750.0000000000000000000
